,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,skew_r,skew_g,skew_b,kurtosis_r,kurtosis_g,kurtosis_b,class
3003,29.734375,73.93945313,79.84765625,9.701690715,14.30390866,12.99452388,94.12280273,204.6018028,168.8576508,-0.789983442,-1.160762389,-1.849836034,1.435906112,2.481218948,4.892459167,1
3004,33.61621094,79.00976563,77.45019531,8.380954675,10.9940459,10.1102062,70.24040127,120.8690453,102.2162695,-0.781197554,-0.554051848,-0.844379467,1.013354881,0.799967065,1.531305117,1
3005,25.06445313,69.05664063,75.14746094,9.356113585,16.70927637,16.40558729,87.53686142,279.1999168,269.1432943,-0.709407758,-1.220019304,-1.598928363,0.319896879,2.555602616,3.954201834,1
3006,28.00585938,77.78710938,75.91308594,8.765943334,13.34457659,12.84102255,76.84176254,178.0777245,164.89186,-0.696719794,-1.391788718,-0.996335659,0.64608179,3.394536632,2.502963795,1
3007,29.58691406,73.44433594,77.47070313,9.543704192,12.05249047,12.45543309,91.0822897,145.2625265,155.1378136,-0.191066924,-1.293071269,-1.347715948,0.506449475,3.117492196,3.520959521,1
3008,30.22265625,68.07421875,77.61328125,10.85591151,16.17519922,16.01259451,117.8508148,261.6370697,256.403183,-0.297424845,-0.902598124,-1.051954334,0.153817412,1.529984846,2.024260386,1
3009,29.00390625,74.15039063,78.89257813,7.828482675,10.73685788,10.2320815,61.28514099,115.280117,104.6954918,-1.031304258,-1.258142098,-1.27390749,1.355012519,3.906969591,3.969230157,1
3010,25.578125,72.85351563,80.04199219,8.123542538,13.51576146,13.11231509,65.99194336,182.675808,171.932807,-0.722080918,-1.64149367,-1.757116632,0.618065382,4.534245911,5.702729985,1
3011,26.4296875,71.46582031,78.00683594,6.900162582,13.92000035,12.31808852,47.61224365,193.7664099,151.7353048,-0.972006182,-0.991106416,-1.919999532,1.565353572,3.456306527,7.529600188,1
3012,28.61621094,74.63476563,75.78710938,8.095147738,13.3393729,13.65405409,65.53141689,177.9388695,186.4331932,-0.724415326,-0.706164542,-0.583772843,0.685675376,0.807571438,0.863852188,1
3013,28.69042969,72.67675781,81.32421875,7.63235213,10.984542,10.76127495,58.25279903,120.6601629,115.8050385,-0.281455846,-0.725863846,-0.564084365,0.175798188,0.864715328,0.45215303,1
3014,33.62109375,75.41796875,78.43359375,10.63698701,14.78733059,14.36036906,113.1454926,218.6651459,206.2201996,-0.958219449,-1.215542438,-1.6369494,0.638399088,1.794738363,4.052900409,1
3015,31.28613281,75.33789063,76.42871094,7.349476696,10.58573119,10.87512553,54.0148077,112.0577049,118.2683554,-1.450883755,-2.005685195,-2.045542553,3.457892777,6.935292012,6.778148898,1
