,mean_l,mean_a,mean_bhuman,std_l,std_a,std_bhuman,var_l,var_a,var_bhuman,class
2650,29.5625,125.1464844,133.3134766,26.20472286,4.393490762,4.75558615,686.6875,19.30276108,22.61559963,1
2651,56.08105469,121.0244141,137.2851563,22.43694011,3.631781056,2.856040469,503.4162817,13.18983364,8.156967163,1
2652,71.08886719,119.9511719,138.8037109,14.13933568,2.820398387,2.575717796,199.9208136,7.954647064,6.634322166,1
2653,59.46777344,121.9111328,138.1132813,17.75613166,4.882297531,3.345773245,315.2802114,23.83682919,11.19419861,1
2654,47.21386719,128.0996094,135.4482422,20.22423523,2.791211067,3.151025508,409.0196905,7.790859222,9.928961754,1
2655,60.42773438,121.5800781,137.4189453,20.80148574,2.955304023,3.784899125,432.7018089,8.733821869,14.32546139,1
2656,55.11230469,125.5712891,133.7871094,16.99678522,4.474405938,2.815205269,288.890708,20.02030849,7.925380707,1
2657,29.66894531,127.7421875,132.1601563,14.87942333,2.485885449,2.648284818,221.3972387,6.179626465,7.013412476,1
2658,54.34960938,122.6914063,137.1640625,21.12751556,4.703149333,3.860157752,446.3719139,22.11961365,14.90081787,1
2659,43.31835938,123.1210938,134.6279297,17.02245228,3.765460885,2.873851879,289.7638817,14.17869568,8.25902462,1
2660,47.1328125,124.2714844,134.8349609,16.49555863,4.48048365,2.99496785,272.1034546,20.07473373,8.96983242,1
2661,40.81640625,126.2265625,133.6455078,16.12825441,2.700086352,2.404893964,260.1205902,7.290466309,5.783514977,1
2662,56.33203125,120.7099609,138.3447266,16.44739215,2.334953994,1.66281468,270.5167084,5.452010155,2.76495266,1
2663,43.50488281,124.6220703,133.6347656,20.89487208,2.217372198,3.831586744,436.5956793,4.916739464,14.68105698,1
2664,74.97558594,124.9736328,139.2451172,17.63215695,2.390632779,3.069105693,310.8929586,5.715125084,9.419409752,1
2665,65.41308594,126.5800781,136.7695313,22.00542069,3.500199993,4.938054693,484.2385397,12.25139999,24.38438416,1
2666,58.55273438,122.3310547,138.0507813,28.62757822,3.631025765,5.615909267,819.5382347,13.18434811,31.53843689,1
2667,62.66796875,119.4384766,140.0429688,18.29065221,2.351471452,2.750374508,334.5479584,5.529417992,7.564559937,1
2668,41.64746094,122.9746094,134.3828125,25.12480048,3.526038722,4.734961546,631.255599,12.43294907,22.41986084,1
2669,38.765625,126.4423828,133.2519531,16.79877896,2.217781608,2.76257708,282.1989746,4.91855526,7.631832123,1
2670,60.546875,121.7724609,137.234375,19.00939709,4.230652584,4.29795441,361.3571777,17.89842129,18.47241211,1
2671,52.453125,126.2460938,139.1738281,26.90531992,4.298889798,4.82699305,723.8962402,18.48045349,23.29986191,1
2672,56.71679688,122.8056641,139.5849609,27.72658555,2.992557035,4.481146311,768.763546,8.955397606,20.08067226,1
2673,36.94140625,121.9365234,133.8408203,25.31667567,4.143056364,3.81263495,640.9340668,17.16491604,14.53618526,1
2674,56.50195313,119.0195313,138.8515625,27.91267067,5.093233234,5.115219087,779.1171837,25.94102478,26.16546631,1
2675,58.13378906,118.0859375,139.7705078,26.9636016,4.789763407,4.637553628,727.0358114,22.9418335,21.50690365,1
2676,49.11621094,123.0908203,135.5322266,26.87178707,3.909193105,3.51932951,722.0929403,15.28179073,12.3856802,1
2677,59.85253906,116.9443359,138.4667969,21.70322587,3.032349535,2.671622995,471.0300131,9.1951437,7.137569427,1
2678,24.484375,125.7675781,130.9248047,22.4191636,3.710558677,4.200447563,502.6188965,13.7682457,17.64375973,1
2679,32.35546875,123.7685547,134.0527344,21.49056409,4.287762777,3.653598443,461.8443451,18.38490963,13.34878159,1
2680,29.94238281,128.0292969,132.5009766,23.47338088,2.193545462,4.295255266,550.9996099,4.811641693,18.4492178,1
2681,10.859375,128.8623047,128.4765625,5.048761257,1.61583502,1.338812695,25.48999023,2.610922813,1.792419434,1
2682,38.46289063,119.9169922,134.9101563,28.01273758,5.872335195,4.984324488,784.7134666,34.48432064,24.8434906,1
2683,61.02539063,116.4365234,139.3496094,22.31121626,2.1870254,2.097906286,497.7903709,4.783080101,4.401210785,1
2684,47.5546875,123.6181641,138.7851563,18.27478351,2.419343869,2.456403934,333.9677124,5.853224754,6.033920288,1
