,mean_l,mean_a,mean_bhuman,std_l,std_a,std_bhuman,var_l,var_a,var_bhuman,class
4365,51.916015625,117.357421875,139.111328125,30.77267928495593,6.437134667557568,5.307470835867493,946.9577903747559,41.436702728271484,28.169246673583984,1
4366,40.267578125,120.5322265625,136.833984375,28.9968459288596,5.059310002230485,6.031960559159506,840.8170738220215,25.596617698669434,36.38454818725586,1
4367,46.15234375,118.7158203125,139.1806640625,30.242125692183674,6.71564635517032,6.74041399388947,914.5861663818359,45.0999059677124,45.433180809020996,1
4368,21.458984375,124.958984375,132.2177734375,24.110955216840868,3.690448681191199,3.9477095469929693,581.3381614685059,13.61941146850586,15.584410667419434,1
4369,47.8759765625,117.8955078125,138.3955078125,31.47697647288333,5.304020745646784,5.99469323716831,990.8000478744507,28.132636070251465,35.936347007751465,1
4370,41.5576171875,119.0458984375,137.7978515625,27.86870375546205,5.028710808540799,5.225496693781014,776.6646490097046,25.28793239593506,27.30581569671631,1
4371,37.5556640625,120.3642578125,136.87890625,22.416573352926758,3.1717028641618867,3.755072659578099,502.502760887146,10.059699058532715,14.100570678710938,1
4372,54.35546875,117.0908203125,141.66015625,29.80851338280347,4.540889930216037,5.564758528057254,888.5474700927734,20.619681358337402,30.966537475585938,1
4373,47.9599609375,118.271484375,140.57421875,32.127452459866376,6.863237618582855,7.505360023153349,1032.1732015609741,47.10403060913086,56.33042907714844,1
4374,49.984375,116.8125,140.3681640625,28.694983875398414,4.506289008152939,5.121778918069726,823.402099609375,20.306640625,26.232619285583496,1
4375,26.806640625,122.4658203125,134.548828125,30.186039606945783,6.660928792140208,7.082628850872322,911.1969871520996,44.3679723739624,50.163631439208984,1
4376,49.97265625,118.828125,140.3193359375,27.890677247412548,3.983088027444912,5.323937792792192,777.8898773193359,15.864990234375,28.344313621520996,1
4377,37.650390625,121.556640625,136.4462890625,28.915131065497732,4.218948472617272,5.221560423876456,836.0848045349121,17.79952621459961,27.26469326019287,1
4378,50.4775390625,118.6611328125,140.6806640625,26.912391927442766,3.7983103107481675,4.706065022555574,724.2768392562866,14.42716121673584,22.147047996520996,1
4379,35.1982421875,120.2685546875,137.0390625,25.69671285588091,5.777714075854029,5.992706952712918,660.3210515975952,33.38197994232178,35.91253662109375,1
4380,43.2919921875,120.6826171875,137.0087890625,30.652406332944548,3.201844345503009,4.645322842912037,939.570013999939,10.25180721282959,21.57902431488037,1
4381,40.6474609375,119.8193359375,136.5703125,31.547021783314374,5.470943948170278,5.535303731715519,995.2145833969116,29.931227684020996,30.63958740234375,1
4382,32.0966796875,123.05859375,134.3642578125,28.825400933474018,4.0941655770695125,4.8008312101689965,830.9037389755249,16.762191772460938,23.047980308532715,1
4383,38.857421875,120.099609375,136.9189453125,24.198140093368156,3.6187769649996544,4.193125007096054,585.5499839782715,13.09554672241211,17.582297325134277,1
4384,41.1376953125,119.302734375,137.66015625,28.072165390087306,4.512369322007382,4.856106655602401,788.0464696884155,20.36147689819336,23.581771850585938,1
4385,35.3037109375,121.4248046875,135.486328125,26.41308243520515,4.298688249335839,4.51211569885281,697.6509237289429,18.478720664978027,20.359188079833984,1
4386,36.62890625,123.02734375,135.77734375,29.73047850150937,3.775076879261658,5.696184507574868,883.9013519287109,14.251205444335938,32.44651794433594,1
4387,36.87890625,121.33984375,135.888671875,30.269927971977584,5.924140758421084,5.64262071635016,916.2685394287109,35.09544372558594,31.839168548583984,1
4388,38.8212890625,120.76953125,137.005859375,30.831039932806643,4.903722415703547,6.028736915202438,950.5530233383179,24.046493530273438,36.34566879272461,1
4389,43.232421875,118.1982421875,138.7646484375,32.365416710155635,6.887258732441755,7.476805297353196,1047.5201988220215,47.434332847595215,55.90261745452881,1
4390,49.1142578125,117.9794921875,138.4736328125,27.843270054714885,4.932807237479127,5.223639932692848,775.2476873397827,24.332587242126465,27.28641414642334,1
4391,47.5087890625,119.7822265625,138.3603515625,28.284546094155026,4.433805297644387,4.76293779498576,800.0155477523804,19.658629417419434,22.68557643890381,1
4392,30.39453125,124.462890625,133.9677734375,30.087609858009216,4.308942128792995,5.103416491544603,905.2642669677734,18.56698226928711,26.044859886169434,1
4393,41.4208984375,118.984375,139.9404296875,24.367979613476578,5.6381573549675785,6.334072530005372,593.7984304428101,31.788818359375,40.12047481536865,1
4394,53.5068359375,117.4814453125,141.80078125,33.31932903953737,7.116610155022669,7.579098479677411,1110.1776876449585,50.64614009857178,57.44273376464844,1
4395,37.6328125,119.7138671875,137.2373046875,25.786948943987998,4.915016360716497,5.119789172689685,664.9667358398438,24.15738582611084,26.212241172790527,1
4396,42.564453125,117.396484375,139.5029296875,25.944384366750306,5.179684185872809,5.162589966957588,673.1110801696777,26.82912826538086,26.652335166931152,1
4397,57.5439453125,115.2060546875,142.0146484375,22.755880559967554,3.2393941220943274,4.000827584485341,517.8301000595093,10.493674278259277,16.00662136077881,1
4398,40.3935546875,120.1962890625,137.1728515625,24.770635286977335,4.456993484002739,4.919310370859041,613.5843725204468,19.86479091644287,24.19961452484131,1
4399,51.083984375,117.08984375,140.3447265625,23.90305896480105,4.1671303046084285,4.238185730310428,571.3562278747559,17.364974975585938,17.962218284606934,1
4400,38.6298828125,120.2880859375,137.2041015625,22.560654477541583,3.508919250298409,4.1507650336636805,508.9831304550171,12.312514305114746,17.22885036468506,1
4401,46.4609375,118.5263671875,139.296875,25.70407839227257,3.9969822705915696,4.966464686713779,660.6996459960938,15.97586727142334,24.665771484375,1
4402,45.2021484375,118.966796875,138.64453125,27.182563403710038,4.674238646826907,5.836025089285809,738.8917531967163,21.848506927490234,34.05918884277344,1
4403,41.1591796875,118.525390625,139.04296875,23.13008925652012,4.248545229388774,4.873408131023241,535.0010290145874,18.05013656616211,23.750106811523438,1
4404,53.23046875,116.1064453125,141.625,24.14712411251645,3.8872534915987633,4.48238740795572,583.0836029052734,15.110739707946777,20.091796875,1
4405,30.6728515625,121.6630859375,135.4306640625,25.560884065547132,4.632464905640381,4.895896435053646,653.3587942123413,21.459731101989746,23.969801902770996,1
4406,45.0498046875,117.970703125,139.376953125,26.68571532310129,4.7435318928110135,5.235703758001663,712.127402305603,22.501094818115234,27.412593841552734,1
4407,37.98828125,120.15234375,137.392578125,24.28191077316401,4.160856748535803,4.426723666073079,589.6111907958984,17.312728881835938,19.595882415771484,1
