,dissimilarity,correlation,energy,ASM,contrast,homogeneity,class
0,5.546370968,0.844082656,0.038557644,0.001486692,50.31653226,0.166417893,1
1,7.732862903,0.911000894,0.031070635,0.000965384,109.827621,0.155069354,1
2,7.690524194,0.915559302,0.031127818,0.000968941,105.4868952,0.151131762,1
3,10.96572581,0.726628177,0.029389879,0.000863765,202.2217742,0.101140965,1
4,7.041330645,0.85951671,0.033166701,0.00110003,80.86995968,0.137907237,1
5,8.015120968,0.889343061,0.030996959,0.000960811,114.9364919,0.140291605,1
6,10.09879032,0.773556086,0.030559489,0.000933882,183.6370968,0.107965237,1
7,10.3891129,0.819406305,0.029733631,0.000884089,182.6834677,0.09634298,1
8,6.592741935,0.900827697,0.036457946,0.001329182,81.65322581,0.156362779,1
9,9.739919355,0.761722828,0.030090346,0.000905429,159.2762097,0.10357231,1
10,5.291330645,0.896346411,0.044816376,0.002008508,58.06552419,0.209632121,1
11,7.530241935,0.855590454,0.032804718,0.00107615,103.3528226,0.136981742,1
12,8.056451613,0.796523269,0.033066975,0.001093425,112.9112903,0.129846043,1
13,7.137096774,0.858673875,0.032711655,0.001070052,89.46169355,0.145020485,1
14,3.814516129,0.898913065,0.06870017,0.004719713,35.26612903,0.297255684,1
15,9.775201613,0.871427522,0.028716572,0.000824641,163.5252016,0.100798761,1
16,8.713709677,0.843071715,0.033120711,0.001096981,159.9798387,0.161668719,1
17,8.669354839,0.863634008,0.030988762,0.000960303,131.921371,0.119767401,1
18,6.709677419,0.890157779,0.03683231,0.001356619,83.79233871,0.148906494,1
19,9.987903226,0.839811593,0.029311979,0.000859192,185.6108871,0.121172892,1
20,8.325604839,0.82345341,0.032391671,0.00104922,123.71875,0.132190939,1
21,5.455645161,0.905776755,0.03789974,0.00143639,55.28225806,0.194280649,1
22,6.192540323,0.877697521,0.034934926,0.001220449,67.71068548,0.169856842,1
23,7.797379032,0.835300834,0.032897518,0.001082247,100.7247984,0.133054556,1
24,6.370967742,0.843222402,0.034738026,0.00120673,68.89314516,0.148026366,1
25,8.071572581,0.881080616,0.030250335,0.000915083,112.8074597,0.132332546,1
26,9.860887097,0.843094608,0.028998286,0.000840901,156.921371,0.098168933,1
27,7.480846774,0.888741467,0.034620816,0.001198601,103.140121,0.146371433,1
28,7.890120968,0.859010284,0.031941491,0.001020259,102.28125,0.124371188,1
29,10.49395161,0.72145928,0.030426186,0.000925753,181.1653226,0.097764312,1
30,9.689516129,0.768042473,0.030267127,0.000916099,153.5604839,0.097298924,1
31,5.605846774,0.868709824,0.046239294,0.002138072,63.55947581,0.203111717,1
32,8.311491935,0.867421761,0.030923108,0.000956239,117.9405242,0.122321081,1
33,7.824596774,0.889854412,0.030733571,0.000944552,102.0907258,0.127265137,1
34,8.677419355,0.851111584,0.03022513,0.000913558,133.0181452,0.118805977,1
35,9.981854839,0.748393585,0.030675653,0.000940996,171.108871,0.099468579,1
36,10.8608871,0.744744881,0.029111954,0.000847506,201.7278226,0.091705345,1
37,7.619959677,0.859150108,0.03171801,0.001006032,101.6804435,0.137006698,1
38,8.013104839,0.8345394,0.031484874,0.000991297,108.8014113,0.123270767,1
39,8.605846774,0.904826194,0.029776322,0.000886629,144.8618952,0.129819814,1
40,5.799395161,0.861856609,0.037993469,0.001443504,56.95262097,0.175670488,1
41,6.75,0.873154068,0.034642823,0.001200125,92.17137097,0.16304885,1
42,7.194556452,0.907789775,0.031428341,0.000987741,90.86592742,0.145842488,1
43,8.151209677,0.860910118,0.030609328,0.000936931,110.5322581,0.120388362,1
44,8.098790323,0.807013516,0.032368134,0.001047696,111.6048387,0.118322476,1
45,8.196572581,0.843979795,0.031217465,0.00097453,114.9989919,0.119897818,1
46,7.313508065,0.865295276,0.032851151,0.001079198,89.76915323,0.134345206,1
47,7.642137097,0.862681414,0.032265939,0.001041091,97.54334677,0.128706603,1
48,7.941532258,0.855513339,0.031428341,0.000987741,107.0887097,0.119073568,1
49,7.290322581,0.893862205,0.030451225,0.000927277,91.2983871,0.132803348,1
50,8.001008065,0.724313802,0.034532647,0.001192504,106.3014113,0.122146635,1
51,5.991935484,0.888651891,0.038452079,0.001478562,66.71370968,0.176335165,1
52,7.764112903,0.881055599,0.030384409,0.000923212,100.7379032,0.137471031,1
53,5.040322581,0.904479333,0.039314516,0.001545631,46.70766129,0.213494802,1
54,4.516129032,0.895871895,0.041843785,0.001750902,33.97983871,0.207817084,1
55,5.469758065,0.901023639,0.036135985,0.001305809,54.28427419,0.191074624,1
56,6.47983871,0.809067138,0.037704847,0.001421656,75.83064516,0.159186281,1
57,5.966733871,0.920270922,0.03425195,0.001173196,63.4828629,0.175974117,1
58,6.528225806,0.94612509,0.032139715,0.001032961,75.73790323,0.155772705,1
59,7.288306452,0.884078845,0.031597637,0.000998411,86.61693548,0.128112584,1
60,9.617943548,0.793070516,0.030567801,0.00093439,158.4082661,0.113161254,1
61,9.402217742,0.763028542,0.030931323,0.000956747,142.452621,0.101075103,1
62,7.084677419,0.929724195,0.036997478,0.001368813,98.60282258,0.170433709,1
63,7.407258065,0.856968007,0.03215552,0.001033977,92.625,0.141699491,1
64,5.904233871,0.904153706,0.04140434,0.001714319,70.22076613,0.196749686,1
65,5.651209677,0.921700504,0.040335179,0.001626927,60.29032258,0.183327882,1
66,6.615927419,0.881798154,0.03578984,0.001280913,78.54334677,0.151205869,1
67,6.835685484,0.797462867,0.041127303,0.001691455,87.13407258,0.161104483,1
