,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,std_r,std_g,std_b,std_h,std_s,std_v,var_r,var_g,var_b,var_h,var_s,var_v,energy,ASM,homogeneity,skew_r,skew_g,skew_b,kurtosis_r,kurtosis_g,kurtosis_b,lbp,class
1585,103.9814453125,134.7333984375,121.44921875,76.8525390625,58.314453125,134.7333984375,6.80853148895353,4.622488525607452,4.879941343361459,2.172433246249841,8.47634265807947,4.622488525607452,46.35610103607178,21.36740016937256,23.813827514648438,4.719466209411621,71.84838485717773,21.36740016937256,0.10018964522547144,0.010037965010405832,0.4415076660736055,-0.386218657302513,-0.5996150133977255,-0.6960547813806152,-0.5520412591763693,1.0996621854344548,1.0743038572585295,656,0
1586,89.0517578125,126.3740234375,114.2783203125,80.208984375,75.8720703125,126.3740234375,10.35135940064614,8.106815529583777,7.414597004635512,1.7131378099866512,11.863985072797258,8.106815529583777,107.15064144134521,65.72045803070068,54.9762487411499,2.9348411560058594,140.75414180755615,65.72045803070068,0.07615392012200009,0.005799419549947971,0.41051134859207555,-0.6035776336423018,-2.2533394450578457,-1.7249854216785205,2.7038919568552533,15.764555257254383,12.018152549878744,495,0
1587,95.466796875,123.9638671875,115.5556640625,80.5380859375,58.6298828125,123.9638671875,7.3812785174717686,4.9005403765667355,5.138779793116845,3.8322381791017044,12.719584032310848,4.9005403765667355,54.483272552490234,24.01529598236084,26.407057762145996,14.686049461364746,161.7878179550171,24.01529598236084,0.1090807790133353,0.011898616350156089,0.48556828844038724,-0.001168429863390246,-0.7022449742828161,-0.3384470172806898,-0.3731381820740447,1.2364005669954299,0.6380179558043118,657,0
1588,91.599609375,125.861328125,114.4580078125,79.0283203125,72.9794921875,125.861328125,25.509645844217676,20.922389804013402,19.367190823818227,5.256894534551735,23.787769501723496,20.922389804013402,650.7420310974121,437.746395111084,375.08808040618896,27.634940147399902,565.8579778671265,437.746395111084,0.06570230135806583,0.0043167924037461,0.35677691257700533,0.6039802278361667,-0.7090159990877324,-0.5250854399132837,2.096472728640939,5.596150041034896,6.246795778405895,385,0
1589,100.5068359375,132.0830078125,119.2685546875,77.396484375,61.5615234375,132.0830078125,13.460081032258257,10.921503674657806,10.075261097972685,3.1719946627289364,13.82833241452628,10.921503674657806,181.1737813949585,119.27924251556396,101.51088619232178,10.06155014038086,191.22277736663818,119.27924251556396,0.06484605659707819,0.004205011056191469,0.3562816643283637,-0.1032420477696667,-0.7688260999527596,-0.5579072842238979,-0.21938739636941218,0.4456836707715559,0.54167650682948,474,0
1590,112.4140625,129.91796875,120.3486328125,68.6962890625,36.5439453125,129.9248046875,17.787823847961103,11.355026651180676,11.33089569935,11.820952081111862,18.845849345665197,11.358986408455555,316.40667724609375,128.93663024902344,128.38919734954834,139.73490810394287,355.1660375595093,129.02657222747803,0.0654698906497158,0.004286306581685745,0.4191983628449022,-0.26273624226136616,-1.1714499491112915,-1.1736604162140953,-0.5036823563395827,4.535695042998141,4.87268278931621,359,0
1591,97.328125,123.048828125,114.3251953125,79.28125,53.7724609375,123.048828125,10.63904173242943,6.978731542279656,6.9376907322413865,4.167981563358936,12.800756180301875,6.978731542279656,113.189208984375,48.702693939208984,48.13155269622803,17.3720703125,163.85935878753662,48.702693939208984,0.06825869765012177,0.00465924980489074,0.38122788230140997,0.3536484205255771,-0.036758749710488016,0.26632579346719865,-0.6893557493757911,-0.2768381554258821,0.04277612685011167,666,0
1592,106.9169921875,125.669921875,117.77734375,73.1259765625,41.041015625,125.669921875,19.625048376133087,12.092435070381667,11.426191231960715,13.083742783248251,21.626722234159892,12.092435070381667,385.14252376556396,146.22698593139648,130.55784606933594,171.18432521820068,467.71511459350586,146.22698593139648,0.06630658819557345,0.004396563638137359,0.33505721081472395,0.26847403309759227,1.2241286776812021,0.684758747515468,2.218289410855122,4.732223669556745,4.194517794259741,601,0
1593,122.2705078125,132.62890625,122.939453125,54.482421875,26.3603515625,133.09375,14.408387495166712,8.172396874767582,9.018765489296621,18.317983489852846,13.606783632214624,8.52999074955536,207.60163021087646,66.78807067871094,81.33813095092773,335.5485191345215,185.1445608139038,72.7607421875,0.06683703408972089,0.004467189125910512,0.36681094013959614,-0.26718182227576176,-0.056132123895936734,0.14924763235282104,0.5951621952567918,3.729133073822706,2.3265198458370726,632,0
1594,144.71484375,150.873046875,143.955078125,54.9365234375,14.8623046875,150.873046875,27.607968703131455,25.399839598982762,25.073679193033207,14.528490128485933,5.5013834340477965,25.399839598982762,762.1999359130859,645.1518516540527,628.6893882751465,211.07702541351318,30.265219688415527,645.1518516540527,0.04872195957094586,0.0023738293444328833,0.2597984697279057,0.6437959636704561,0.7727585089842138,0.7707518681801663,-0.9446947637117695,-0.718433868320802,-0.7656340309094105,444,0
1595,113.9140625,125.998046875,120.64453125,76.298828125,24.65625,125.998046875,8.115164569871258,6.416378890020658,6.8687904752418705,3.3498132226601807,6.264592340088859,6.416378890020658,65.85589599609375,41.169918060302734,47.18028259277344,11.221248626708984,39.2451171875,41.169918060302734,0.08159408949762803,0.006657595440946933,0.3817412355634345,0.8900606201367991,0.8800722526992718,0.8310126114617868,0.5017304921282055,0.6333919269383936,0.43197878043360527,714,0
1596,143.8046875,150.751953125,142.625,55.2529296875,15.173828125,150.7548828125,20.54988541397114,21.534787356688774,21.09599525087641,10.28421742942462,3.583962023091063,21.52962792297842,422.29779052734375,463.74706649780273,445.041015625,105.76512813568115,12.844783782958984,463.5248785018921,0.037250677856657026,0.001387613000780438,0.1877426243536823,0.9441298650011433,0.8680167486995283,0.8694695489173078,0.001497774388605766,-0.059924004298146816,-0.08521927144466979,647,0
1597,134.296875,138.666015625,132.5419921875,49.7646484375,12.609375,138.9755859375,15.992910721922229,17.243878480848092,16.78367051723755,14.297354167975584,4.364468350712948,16.904845992083224,255.773193359375,297.35134506225586,281.69159603118896,204.4143362045288,19.048583984375,285.77381801605225,0.04169172525183513,0.001738199954474507,0.22392740765741564,0.8790552194231579,0.9042348743196545,0.8630353483245709,0.6228939727065392,1.1232187867753254,0.8789013656902314,662,0
