,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,std_r,std_g,std_b,std_h,std_s,std_v,var_r,var_g,var_b,var_h,var_s,var_v,class
1444,106.3251953125,83.48828125,80.5537109375,55.4677734375,64.0771484375,107.208984375,21.436331736592155,11.856394115450888,12.194110622968486,73.0697637035913,24.16780741619089,20.26993803717727,459.516318321228,140.57408142089844,148.69633388519287,5339.190367698669,584.0829153060913,410.87038803100586,0
1445,113.708984375,101.1171875,106.716796875,98.0947265625,50.244140625,120.2763671875,33.885193308154605,26.220108306218794,37.366505502789394,63.39926350373368,20.989277509128907,33.149884345426806,1148.2063255310059,687.4940795898438,1396.2557334899902,4019.466612815857,440.5497703552246,1098.9148321151733,0
1446,165.0947265625,136.1953125,110.7265625,17.6162109375,82.4072265625,166.8173828125,52.686330535688825,38.34354545457871,27.543315274465304,14.643090137262877,17.595364782785676,49.7117948720455,2775.849425315857,1470.2274780273438,758.6342163085938,214.42008876800537,309.59686183929443,2471.2625494003296,0
1447,125.23046875,100.15234375,88.4814453125,36.9892578125,76.3876953125,127.1455078125,38.406079756729575,22.896809837984765,18.765453201257138,51.12191389138231,26.88758943792034,36.03938437201725,1475.0269622802734,524.2639007568359,352.1422338485718,2613.4500799179077,722.9424657821655,1298.8372259140015,0
1448,185.5302734375,131.59765625,115.904296875,34.98828125,98.11328125,185.5302734375,35.23668661379759,35.62333102415938,24.42532107592171,62.2316729059319,11.273536983058975,35.23668661379759,1241.624083518982,1269.021713256836,596.5963096618652,3872.7811126708984,127.09263610839844,1241.624083518982,0
1449,137.4462890625,125.845703125,108.384765625,30.62890625,69.0048828125,145.09375,63.990256871731596,39.93959820747281,38.70799641758558,28.94325307914974,26.402255163539383,55.80269195735543,4094.752974510193,1595.1715049743652,1498.3089866638184,837.7118988037109,697.0790777206421,3113.9404296875,0
1450,41.654296875,100.232421875,58.369140625,68.40234375,149.287109375,100.232421875,7.227850128106229,7.487534144965316,6.0610875322812,3.421587370188863,15.279351551416935,7.487534144965316,52.241817474365234,56.063167572021484,36.73678207397461,11.707260131835938,233.4585838317871,56.063167572021484,0
1451,249.3173828125,173.8369140625,139.1982421875,9.4365234375,112.67578125,249.3173828125,5.81567878349807,9.06130189539504,9.399278813962017,3.0863032257076077,7.632703548032534,5.81567878349807,33.82211971282959,82.10719203948975,88.34644222259521,9.525267601013184,58.25816345214844,33.82211971282959,0
1452,182.841796875,159.6337890625,125.48828125,23.02734375,83.423828125,186.63671875,57.23476846962203,35.01107066681559,35.099048734202164,15.50041690388797,24.07966227639954,50.52473538880138,3275.8187217712402,1225.7750692367554,1231.9432220458984,240.26292419433594,579.830135345459,2552.7488861083984,0
1453,147.1181640625,89.7431640625,91.6767578125,105.7939453125,102.8720703125,147.2548828125,34.09208437367585,22.7154926341849,15.410021306789949,83.24248935281344,20.111996993276332,33.74022537253408,1162.2702169418335,515.9936056137085,237.46875667572021,6929.312033653259,404.49242305755615,1138.402808189392,0
1454,159.9423828125,101.23828125,96.1240234375,25.1376953125,102.4541015625,159.9423828125,15.577101602101868,13.457175253220806,10.758229454675648,58.505488399067445,10.157732717414603,15.577101602101868,242.6460943222046,181.09556579589844,115.73950099945068,3422.8921728134155,103.17953395843506,242.6460943222046,0
1455,141.8720703125,107.6953125,91.7275390625,9.453125,90.154296875,141.8720703125,13.995264308242133,12.79529857124654,11.08608817279732,2.4944763196661137,10.37780558328037,13.995264308242133,195.86742305755615,163.71966552734375,122.90135097503662,6.222412109375,107.69884872436523,195.86742305755615,0
1456,142.7265625,105.359375,94.994140625,6.275390625,85.0576171875,142.7265625,15.379872116132622,13.930833257001355,10.337373640955647,3.795343035044673,8.892785907532273,15.379872116132622,236.54046630859375,194.068115234375,106.86129379272461,14.40462875366211,79.08164119720459,236.54046630859375,0
1457,107.6806640625,80.3310546875,78.873046875,57.3994140625,74.802734375,108.2216796875,21.715053128452645,16.786072760815266,11.332574388860314,75.33654724779453,20.453982085359158,20.386420273153643,471.543532371521,281.7722387313843,128.42724227905273,5675.595351219177,418.36538314819336,415.6061315536499,0
1458,49.9833984375,97.806640625,101.2978515625,92.0693359375,129.447265625,101.3125,4.724925364555779,5.0966934405651285,4.69397004242851,1.0523769359269501,7.584494896543432,4.6929135406482825,22.32491970062256,25.97628402709961,22.03335475921631,1.107497215270996,57.52456283569336,22.0234375,0
1459,105.05859375,127.2138671875,119.59765625,77.2763671875,47.9521484375,127.2880859375,30.532745043599682,26.16683557986351,22.985224414432764,11.543345117000243,17.062404282968632,26.10813627837335,932.2485198974609,684.7032842636108,528.3205413818359,133.24881649017334,291.1256399154663,681.6347799301147,0
1460,80.0986328125,118.0703125,110.1669921875,83.8447265625,82.240234375,118.0703125,7.19531084323661,7.505527748089654,7.051598634126447,1.5538232596106076,6.44575489722254,7.505527748089654,51.77249813079834,56.33294677734375,49.725043296813965,2.4143667221069336,41.54775619506836,56.33294677734375,0
1461,73.505859375,104.21875,100.693359375,86.4677734375,76.0556640625,104.2783203125,11.224013599988401,9.116595016095648,8.689169963356662,2.4726899974864285,15.175529849057858,9.056769670591711,125.97848129272461,83.1123046875,75.50167465209961,6.114195823669434,230.296706199646,82.0250768661499,0
1462,97.689453125,126.7568359375,121.609375,81.9013671875,62.818359375,126.9375,32.31856274865,16.095128950282085,16.33911113660639,12.118193888975302,44.91722220299636,16.134081744865433,1044.4894981384277,259.0531759262085,266.966552734375,146.85062313079834,2017.5568504333496,260.30859375,0
1463,90.943359375,129.6533203125,115.5087890625,71.5302734375,96.76171875,131.0966796875,45.59359701443394,22.52858272854231,14.408856898705753,23.152581978452897,32.589597940460976,25.91650936614584,2078.7760887145996,507.5370397567749,207.61515712738037,536.0420522689819,1062.0818939208984,671.6654577255249,0
1464,59.69921875,101.5947265625,101.84765625,90.0947265625,106.857421875,102.484375,7.568138353627558,7.203163064123769,7.130085518900593,1.3584988280660877,11.256212850167302,7.217041870418586,57.27671813964844,51.885558128356934,50.83811950683594,1.8455190658569336,126.70232772827148,52.085693359375,0
1465,88.9541015625,127.3544921875,119.544921875,82.3544921875,82.076171875,127.3671875,35.61316748087616,26.759678435595998,24.54491923291145,5.889801777352228,33.6231711078158,26.75353980485281,1268.297698020935,716.0803899765015,602.4530601501465,34.689764976501465,1130.517635345459,715.7518920898438,0
