,mean_h,mean_s,mean_v,std_h,std_s,std_v,var_h,var_s,var_v,class
5501,41.7158203125,129.8056640625,30.5341796875,14.930709221022035,68.35628976715235,19.625716639755154,222.9260778427124,4672.582350730896,385.1687536239624,1
5502,38.2734375,133.7548828125,40.453125,12.842169819917261,59.81832419712117,20.09070617497989,164.92132568359375,3578.231909751892,403.636474609375,1
5503,45.515625,146.8115234375,55.0078125,5.1491191221775985,46.46897721892411,20.830368115802557,26.513427734375,2159.365843772888,433.90423583984375,1
5504,47.662109375,149.5283203125,47.712890625,4.16752346130614,50.70305690202416,18.604319208366295,17.36825180053711,2570.7999792099,346.1206932067871,1
5505,32.1708984375,115.3134765625,38.1318359375,22.00335318847016,63.77551859065721,23.613696083482644,484.14755153656006,4067.316771507263,557.6066427230835,1
5506,35.8125,122.3876953125,44.9892578125,10.755358402907827,57.01979409737609,24.316815206620042,115.677734375,3251.2569189071655,591.3075017929077,1
5507,44.5986328125,140.095703125,49.5234375,5.905178315961199,51.66828751431448,19.746475098320555,34.87113094329834,2669.6119346618652,389.92327880859375,1
5508,48.2587890625,132.408203125,48.1015625,5.347350842579003,54.98351467334314,21.47107969301017,28.59416103363037,3023.1868858337402,461.00726318359375,1
5509,41.31640625,134.19140625,37.5830078125,19.63324578896625,68.68474519878822,23.646958717307896,385.46434020996094,4717.594223022461,559.178656578064,1
5510,48.4052734375,145.9091796875,49.470703125,6.0887649099268835,52.650273712330666,22.063498585177175,37.073058128356934,2772.0513219833374,486.79796981811523,1
5511,35.0341796875,128.203125,57.3349609375,11.14971813820701,54.41305914814361,25.641993382103685,124.3162145614624,2960.781005859375,657.5118246078491,1
5512,39.7412109375,137.0361328125,46.8046875,11.005965219308589,54.637170260797376,23.278815676003447,121.13127040863037,2985.220374107361,541.9032592773438,1
5513,46.3525390625,130.1416015625,49.037109375,5.7220561992094785,53.40461769533602,20.494582693221325,32.74192714691162,2852.0531911849976,420.0279197692871,1
5514,39.4404296875,128.16796875,38.1513671875,18.070726019666964,62.220979597913946,22.756041824909893,326.55113887786865,3871.4503021240234,517.8374395370483,1
5515,44.2275390625,135.0029296875,36.6748046875,20.582294409577777,64.23547524911318,19.302806779617,423.6308431625366,4126.196280479431,372.598349571228,1
5516,41.8740234375,138.0673828125,43.7666015625,3.872069081021242,46.84338882642971,14.085994879023369,14.992918968200684,2194.3030767440796,198.41525173187256,1
5517,43.2822265625,136.61328125,36.1923828125,10.403079308787348,63.68144950539677,19.99011231624161,108.22405910491943,4055.3270111083984,399.6045904159546,1
5518,47.4609375,130.474609375,43.7568359375,10.294512603620133,60.263024881067516,21.573014921452415,105.97698974609375,3631.632167816162,465.3949728012085,1
5519,47.4609375,130.474609375,43.7568359375,10.294512603620133,60.263024881067516,21.573014921452415,105.97698974609375,3631.632167816162,465.3949728012085,1
5520,48.97265625,137.7666015625,49.33203125,5.000315846957664,49.58020271975371,20.251666341909335,25.003158569335938,2458.1965017318726,410.12998962402344,1
5521,47.8525390625,134.4912109375,32.8427734375,15.746302064593186,69.11731366128447,20.492750397897897,247.94602870941162,4777.20304775238,419.95281887054443,1
5522,48.873046875,145.9775390625,44.05078125,8.6297256129064,59.57347160392608,21.611252841740768,74.47216415405273,3548.9985189437866,467.04624938964844,1
5523,47.0419921875,141.1572265625,44.4619140625,6.566754152066983,56.708269404651595,19.96624384333129,43.122260093688965,3215.8278188705444,398.65089321136475,1
5524,45.6376953125,127.8583984375,48.875,5.557984909201853,50.70967521030871,18.8174308322098,30.891196250915527,2571.4711599349976,354.095703125,1
5525,41.68359375,145.69921875,36.3642578125,20.93417614416581,61.36411053612403,18.113766234097554,438.23973083496094,3765.5540618896484,328.1085271835327,1
5526,41.2578125,140.8916015625,36.9921875,10.093021331090297,65.84093171304039,21.110663069047447,101.86907958984375,4335.028288841248,445.66009521484375,1
5527,46.3857421875,130.5751953125,41.4501953125,9.564982920909097,58.502756094606156,21.977737758766324,91.48889827728271,3422.572470664978,483.020956993103,1
5528,30.8447265625,133.6357421875,57.4287109375,10.345322365547965,46.85594541713498,19.129666401157337,107.02569484710693,2195.4796209335327,365.94413661956787,1
5529,41.669921875,133.9912109375,38.3974609375,9.19687200527421,60.34334477545871,19.64979607376783,84.58245468139648,3641.3192586898804,386.1144857406616,1
5530,42.96484375,128.72265625,44.8017578125,7.572870883164848,55.64477557861417,20.212174279319758,57.34837341308594,3096.341049194336,408.5319890975952,1
5531,41.6142578125,129.2392578125,39.45703125,8.484396974875864,60.90194781685277,19.809495764317763,71.98499202728271,3709.0472478866577,392.41612243652344,1
5532,42.6845703125,148.453125,43.3017578125,9.898168835685905,56.96949353258615,19.611105671534567,97.97374629974365,3245.523193359375,384.5954656600952,1
5533,48.5009765625,143.2021484375,42.849609375,6.790675982280828,57.94152119332661,20.58179280723407,46.113280296325684,3357.2198781967163,423.6101951599121,1
5534,45.9541015625,146.5859375,45.404296875,4.797749591833139,53.817494301305906,18.325630454007992,23.01840114593506,2896.3226928710938,335.82873153686523,1
5535,43.1474609375,140.4755859375,35.498046875,8.199224274857446,64.692311035227,19.819103692783454,67.22727870941162,4185.095107078552,392.79687118530273,1
5536,39.6953125,122.0771484375,43.6455078125,26.33726079440198,59.86278993190253,24.356289279701485,693.6513061523438,3583.5536184310913,593.2288274765015,1
5537,35.296875,127.703125,38.466796875,15.62336710217663,61.870199861155896,23.16607144732335,244.089599609375,3827.921630859375,536.6668663024902,1
5538,43.6943359375,130.4033203125,53.9033203125,7.681992892042793,51.766551066185826,21.02652316659901,59.013014793395996,2679.775809288025,442.1146764755249,1
5539,40.3359375,136.2646484375,41.4541015625,12.419445025688296,57.52210241196013,21.48891072061204,154.24261474609375,3308.792265892029,461.77328395843506,1
5540,40.2529296875,131.9580078125,41.279296875,11.319813382325751,61.87003763509999,21.933985675900658,128.13817501068115,3827.901556968689,481.09972763061523,1
5541,39.6611328125,137.41015625,35.0576171875,16.564899976055873,70.30205293482251,23.540058954306055,274.39591121673584,4942.378646850586,554.1343755722046,1
5542,43.9951171875,145.681640625,46.62109375,5.57818851381361,52.19274126790381,19.488202169613054,31.11618709564209,2724.0822410583496,379.79002380371094,1
5543,40.7275390625,137.240234375,46.87109375,7.656886669857183,54.15174085331947,22.439436380036618,58.62791347503662,2932.4110374450684,503.52830505371094,1
