,mean_h,mean_s,mean_v,std_h,std_s,std_v,var_h,var_s,var_v,class
2071,44.95800781,101.5957031,57.22460938,5.506316892,39.80470662,25.80138115,30.31952572,1584.414669,665.7112694,1
2072,42.89746094,97.54785156,70.23144531,8.028041273,28.48573614,21.15807663,64.44944668,811.4371634,447.6642065,1
2073,38.54199219,82.82226563,63.40722656,16.20378628,28.85411942,27.95569155,262.5626898,832.5602074,781.52069,1
2074,40.88867188,103.8310547,47.95019531,10.50006085,37.2165298,21.33719381,110.2512779,1385.07009,455.2758398,1
2075,41.59375,81.47851563,65.98144531,9.725680808,24.59102048,13.98725171,94.58886719,604.7182884,195.6432104,1
2076,41.81640625,74.48046875,48.67871094,16.46585851,30.59203598,21.86301672,271.1244965,935.8726654,477.9914999,1
2077,32.83398438,88.484375,42.34179688,16.76945516,32.64342975,19.57284,281.2146263,1065.593506,383.0960655,1
2078,38.83691406,90.72265625,67.54199219,13.57832331,27.5905334,22.7786177,184.3708639,761.2375336,518.8654242,1
2079,39.578125,89.30273438,53.84082031,21.65536502,27.80077267,17.04237176,468.954834,772.8829613,290.4424353,1
2080,33.84570313,93.4453125,51.45703125,30.55127639,37.07837109,21.07784376,933.3804893,1374.805603,444.2754974,1
2081,37.20996094,86.36425781,56.65429688,8.055099462,36.68245722,17.44056932,64.88462734,1345.602668,304.1734581,1
2082,31.73144531,92.04296875,67.24609375,3.616253924,21.08377332,16.50461537,13.07729244,444.5254974,272.4023285,1
2083,33.06542969,79.13769531,60.61035156,5.019164076,19.04024277,12.82771696,25.19200802,362.5308447,164.5503225,1
2084,31.18554688,79.73046875,33.75097656,26.54338919,28.77671329,11.70351088,704.5515099,828.0992279,136.972167,1
2085,30.80273438,78.4609375,42.51367188,9.182617343,25.31667476,13.27554321,84.32046127,640.934021,176.2400475,1
2086,35.13574219,67.01855469,45.5234375,28.43870416,26.89183062,15.98532767,808.7598944,723.1705542,255.5307007,1
2087,44.41015625,83.50585938,45.84472656,34.54559564,33.65371051,25.20413361,1193.398178,1132.572231,635.2483511,1
2088,43.80273438,82.9609375,60.83984375,6.534774195,25.62878092,16.69755474,42.70327377,656.8344116,278.8083344,1
2089,37.29394531,83.66015625,49.20214844,9.72625928,33.311001,15.26987547,94.60011959,1109.622787,233.1690969,1
2090,41.75488281,88.97558594,61.375,4.594863341,20.36820222,16.96935427,21.11276913,414.8636618,287.9589844,1
2091,42.40625,88.04101563,63.48535156,7.384858347,29.39667215,20.63526686,54.53613281,864.1643333,425.8142385,1
2092,39.96777344,91.80566406,66.41992188,6.296075207,28.42678931,21.22064686,39.64056301,808.0823507,450.3158531,1
2093,23.44433594,84.45898438,69.97558594,5.843234198,25.93163106,16.17061105,34.14338589,672.4494896,261.4886618,1
2094,36.38574219,92.95898438,55.97949219,3.534239862,24.8273782,14.80645213,12.4908514,616.3987083,219.2310247,1
2095,37.23046875,86.25878906,58.06542969,7.165292416,32.14290632,18.34395273,51.34141541,1033.166427,336.5006018,1
2096,30.95996094,66.15234375,78.3515625,3.419178218,13.20726578,12.86579759,11.69077969,174.4318695,165.5287476,1
2097,42.30761719,54.74902344,52.23242188,44.4259182,26.60266263,21.06650286,1973.662208,707.7016592,443.7975426,1
2098,39.47558594,81.64453125,40.41210938,27.25604487,35.23025003,23.0953376,742.8919821,1241.170517,533.394619,1
2099,40.01269531,92.6015625,39.20214844,16.56889131,32.5451825,17.78833765,274.5281591,1059.188904,316.4249563,1
2100,35.54589844,113.3701172,57.90722656,10.2772999,41.73264897,24.57494489,105.6228933,1741.61399,603.9279165,1
2101,40.48144531,116.6953125,63.94824219,6.726060519,35.30750708,21.61994741,45.2398901,1246.620056,467.4221258,1
2102,45.953125,105.4121094,60.39160156,7.244593216,36.6930374,22.86265821,52.48413086,1346.378994,522.7011404,1
2103,42.0390625,100.2255859,57.96386719,7.239110727,38.5826387,25.34160485,52.40472412,1488.620009,642.1969366,1
2104,47.64453125,100.5292969,56.62792969,11.2081953,33.63547004,19.97408578,125.623642,1131.344845,398.9641027,1
2105,43.01855469,105.5859375,70.99414063,9.469041222,31.80378745,23.84929827,89.66274166,1011.480896,568.7890282,1
2106,45.51660156,101.5351563,50.62207031,10.09465542,34.62625131,19.26264655,101.9020681,1198.97728,371.049552,1
2107,43.45898438,93.87109375,50.21875,26.62969951,35.13160225,20.19739019,709.1408958,1234.229477,407.9345703,1
2108,45.60351563,98.8984375,43.46484375,32.1370209,43.83453259,23.75445547,1032.788113,1921.466248,564.2741547,1
2109,29.83300781,102.2666016,74.13183594,10.47953942,36.3259202,22.63158576,109.8207464,1319.572478,512.188674,1
2110,28.36914063,92.28222656,66.3515625,11.39860467,26.24902224,19.06750543,129.9281883,689.0111685,363.5697632,1
2111,32.43359375,84.46777344,53.72851563,5.682130396,26.30297735,13.58877522,32.28660583,691.8466177,184.6548119,1
2112,33.95117188,74.02636719,57.10839844,10.5193998,23.37053534,18.25516215,110.6577721,546.181922,333.2509451,1
2113,29.37890625,78.74511719,55.5078125,6.977011945,22.00413836,18.20826611,48.67869568,484.1821051,331.5409546,1
2114,29.22851563,94.44140625,73.80761719,12.86803996,28.27119097,23.98186776,165.5864525,799.2602386,575.129981,1
2115,28.32519531,109.3525391,61.87109375,8.895591756,35.55870659,23.14675886,79.1315527,1264.421615,535.7724457,1
2116,23.39160156,113.4326172,57.55761719,6.523093574,41.9999227,21.41855487,42.55074978,1763.993506,458.7544928,1
2117,29.3046875,102.3525391,73.78613281,11.88046492,41.67404831,19.44840337,141.1454468,1736.726302,378.2403936,1
2118,32.58886719,93.65917969,55.14941406,22.74330072,35.42476697,23.96494306,517.2577276,1254.914115,574.3184958,1
2119,33.84375,114.4697266,63.36035156,8.108215837,38.96867559,18.87634593,65.74316406,1518.557677,356.3164358,1
2120,41.58496094,90.73242188,68.21386719,7.245190242,26.49761715,20.40579926,52.49278164,702.1237144,416.3966436,1
2121,39.66308594,112.8994141,70.1171875,8.399960743,26.61980289,16.97591175,70.55934048,708.6139059,288.1815796,1
2122,45.09863281,109.8349609,78.97460938,4.023495216,24.60970949,16.58445891,16.18851376,605.6378012,275.0442772,1
2123,35.06445313,113.9375,65.46875,8.19666389,41.27167991,27.12217367,67.18529892,1703.351563,735.6123047,1
2124,49.64648438,100.2207031,72.80273438,1.532852269,24.07893353,19.1133071,2.349636078,579.7950401,365.3185081,1
2125,34.453125,80.328125,59.40136719,32.56246626,33.41207781,22.10018113,1060.314209,1116.366943,488.4180059,1
2126,34.32617188,89.63574219,91.96582031,3.926703775,18.33406185,22.87602038,15.41900253,336.1378241,523.3123083,1
2127,38.91601563,96.65332031,92.96972656,8.252058061,18.71089486,21.25013928,68.09646225,350.0975866,451.5684195,1
2128,40.25585938,87.91699219,68.13769531,6.593303069,18.39916418,15.08923926,43.47164536,338.5292425,227.6851416,1
2129,39.875,91.02148438,82.65332031,7.575402217,21.77081276,14.70344642,57.38671875,473.9682884,216.1913366,1
2130,32.234375,73.77441406,57.87695313,11.63263148,32.50608251,18.64209828,135.3181152,1056.6454,347.5278282,1
2131,27.88476563,90.67675781,60.63378906,10.57563913,29.01259167,20.98375653,111.8441429,841.7304754,440.318038,1
2132,43.96679688,96.12890625,54.23242188,8.669882716,34.10328671,17.79463697,75.1668663,1163.034164,316.6491051,1
2133,39.96289063,95.4609375,51.68261719,13.41854003,36.16342622,21.18556063,180.0572166,1307.793396,448.8279791,1
2134,43.68164063,107.828125,55.890625,12.31052549,47.9368863,29.62453438,151.5490379,2297.945068,877.6130371,1
2135,40.18847656,95.00878906,64.20605469,5.044395097,31.81705703,21.86905103,25.4459219,1012.325118,478.255393,1
2136,49.546875,112.2421875,60.03417969,8.11596553,39.15668567,21.58535482,65.86889648,1533.246033,465.9275427,1
2137,41.16894531,96.81640625,46.81835938,7.661017168,33.15334112,18.41095056,58.69118404,1099.144028,338.9631004,1
2138,37.93359375,100.0205078,43.4921875,20.02594714,38.84095386,21.95329598,401.038559,1508.619697,481.9472046,1
2139,40.8125,104.8623047,68.45019531,10.24037277,42.47218282,27.89407734,104.8652344,1803.886313,778.0795507,1
2140,38.71289063,99.03710938,55.1953125,11.67536092,33.23000147,21.390732,136.3140526,1104.232998,457.5634155,1
2141,42.82617188,87.91503906,42.73144531,24.53149002,38.93847321,22.0991451,601.7940025,1516.204696,488.3722143,1
2142,52.52441406,105.0888672,59.28027344,8.066701282,36.36945449,22.80497653,65.07166958,1322.73722,520.0669546,1
2143,52.37890625,93.25097656,48.32714844,12.41207296,38.74811612,20.23782922,154.0595551,1501.416503,409.5697317,1
2144,31.95703125,69.36523438,43.91796875,10.04346557,37.52204303,21.95679149,100.8712006,1407.903713,482.1006927,1
2145,31.00488281,80.16308594,33.96386719,12.26501693,30.07775998,16.95581526,150.4306402,904.6716452,287.499671,1
2146,42.3984375,96.94921875,77.390625,6.165161499,32.74876786,21.49386154,38.00921631,1072.481796,461.986084,1
2147,43.640625,95.23046875,45.64746094,6.046027072,36.94590124,19.52651776,36.55444336,1364.999619,381.2848959,1
2148,31.04296875,64.71679688,58.76269531,8.150207854,21.7813592,15.32382665,66.42588806,474.4276085,234.819663,1
2149,39.67480469,81.22265625,65.38574219,11.13801512,27.89834425,17.97248961,124.0553808,778.3176117,323.0103827,1
2150,38.47167969,76.74121094,69.45410156,12.6617341,27.65842896,21.90956739,160.3195105,764.9886923,480.0291433,1
2151,36.31542969,81.10351563,39.68847656,46.6375142,29.64314165,14.11322878,2175.057731,878.715847,199.1832266,1
2152,32.296875,85.10449219,47.76757813,5.854831572,34.79647605,17.41056061,34.27905273,1210.794745,303.1276207,1
2153,49.78320313,108.4345703,68.04785156,5.799874653,31.376986,21.33770173,33.63854599,984.5152502,455.2975149,1
2154,41.66894531,93.14550781,45.49316406,12.34880326,43.44718102,24.14183254,152.4929419,1887.657538,582.8280783,1
2155,41.66992188,101.5322266,63.95898438,6.872189311,35.57503262,23.35761965,47.22698593,1265.582946,545.5783958,1
2156,35.30664063,89.91308594,73.07226563,14.88411337,39.47177176,20.89460747,221.5368309,1558.020766,436.5846214,1
2157,24.45507813,82.81835938,64.81542969,9.119429678,28.21707523,26.33149767,83.16399765,796.2033348,693.3477697,1
2158,30.07226563,80.70898438,59.18847656,9.292903687,29.43354003,21.20971881,86.35805893,866.3332787,449.8521719,1
2159,40.1953125,97.27539063,58.6796875,21.04317867,37.52975824,26.1631177,442.8153687,1408.482754,684.508728,1
2160,50.63574219,93.92773438,49.66503906,6.638189394,42.43499915,22.53742782,44.06555843,1800.729153,507.9356527,1
2161,51.31152344,110.4169922,65.18164063,2.524416707,35.92781044,18.53934306,6.37267971,1290.807563,343.7072411,1
2162,39.8125,107.265625,48.73339844,9.760711264,35.90876229,19.95689245,95.27148438,1289.439209,398.2775564,1
2163,33.88867188,115.0732422,82.41210938,15.39110274,39.87058541,30.17831268,236.8860435,1589.663581,910.7305565,1
2164,44.42089844,83.81835938,74.31347656,7.939320213,28.16989845,21.81523922,63.03280544,793.5431786,475.9046621,1
2165,36.67480469,83.96386719,66.04101563,8.679330127,21.71638168,16.49018047,75.33077145,471.6012335,271.9260521,1
2166,40.62988281,85.63378906,70.90722656,6.819715616,25.82629911,21.3235901,46.50852108,666.9977255,454.6954947,1
2167,35.60351563,97.60546875,71.15332031,10.75150005,27.70753736,26.74041389,115.5947533,767.7076263,715.0497351,1
2168,39.37011719,77.76269531,60.19824219,12.73431655,29.49138074,17.55306566,162.162818,869.741538,308.1101141,1
2169,30.890625,67.94042969,67.02246094,9.097655411,29.95901116,17.8886662,82.76733398,897.5423498,320.0043783,1
2170,36.88964844,96.39746094,74.4296875,6.520140842,25.46990476,16.35509697,42.5122366,648.7160482,267.4891968,1
2171,30.41210938,92.14160156,75.72070313,9.219443292,18.09017311,16.2146286,84.99813461,327.2543631,262.9141808,1
2172,38.77050781,84.14746094,60.34277344,6.641567531,25.05982555,13.10052355,44.11041927,627.9948568,171.6237173,1
2173,39.81542969,89.88769531,84.43652344,6.975131342,16.92377456,14.76706752,48.65245724,286.4141455,218.0662832,1
2174,40.3203125,74.74511719,91.24707031,7.294377751,19.41141929,15.13495576,53.20794678,376.8031988,229.0668859,1
2175,44.06738281,89.296875,79.12402344,4.947019165,17.98729342,14.91058143,24.47299862,323.5427246,222.3254385,1
2176,35.8984375,90.38769531,76.72460938,4.773527004,25.43176158,15.6557304,22.78656006,646.774497,245.1018944,1
2177,38.70898438,109.5009766,71.6171875,5.925256896,30.74761803,21.20993322,35.10866928,945.4160147,449.8612671,1
2178,42.44726563,112.2685547,72.58691406,8.069470845,32.62229316,19.27814158,65.11635971,1064.214011,371.6467428,1
2179,41.39160156,111.9482422,71.48339844,6.429148692,26.64579325,20.38428943,41.3339529,709.9982977,415.5192556,1
2180,42.56347656,105.0390625,59.17480469,7.696759796,28.83205745,20.46824212,59.24011135,831.2875366,418.9489355,1
2181,44.25195313,93.546875,46.49902344,29.31361599,34.21961686,16.26375617,859.2880821,1170.982178,264.5097647,1
2182,46.08789063,120.4833984,62.96679688,4.605330836,35.5888484,23.70684548,21.20907211,1266.566131,562.0145226,1
