,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,class
3973,29.67382813,47.75097656,22.67773438,20.12187133,21.52109927,15.33492148,404.8897057,463.1577139,235.1598167,1
3974,25.39453125,41.79101563,23.37304688,19.26036169,24.02845151,15.90835252,370.9615326,577.3664818,253.0756798,1
3975,24.24023438,39.44824219,21.13378906,21.1151258,24.79622532,17.27281866,445.8485374,614.8527899,298.3502645,1
3976,26.09570313,37.50488281,25.10449219,20.59203381,24.62273894,18.30652151,424.0318565,606.279273,335.1287298,1
3977,27.3046875,45.03320313,28.29394531,18.55389472,24.00018048,17.34311717,344.2470093,576.0086632,300.7837133,1
3978,25.32324219,35.44628906,24.81933594,22.82157368,24.88856112,18.7724235,520.8242254,619.4404745,352.4038839,1
3979,29.73828125,52.23144531,25.20214844,18.67829674,21.82078432,14.59897375,348.8787689,476.1466284,213.1300344,1
3980,27.16113281,45.94726563,24.74511719,19.28103254,23.44831318,15.74257252,371.7582159,549.823391,247.8285894,1
3981,29.11523438,39.86328125,25.015625,16.92078287,18.19219386,13.32202381,286.3128929,330.9559174,177.4763184,1
3982,31.98144531,46.13769531,29.57324219,17.49008222,18.35318606,14.85254696,305.902976,336.8394384,220.5981512,1
3983,30.20703125,44.76660156,28.47265625,18.02461721,19.58697595,14.97547586,324.8868256,383.6496267,224.2648773,1
3984,25.609375,43.78027344,24.81347656,15.0236061,17.34376581,13.89909837,225.7087402,300.8062124,193.1849356,1
3985,26.79394531,48.14355469,26.55859375,16.21900657,20.67857383,15.60562813,263.0561743,427.6034155,243.5356293,1
3986,23.73925781,41.79882813,19.95410156,19.31941072,25.79551799,15.5507876,373.2396307,665.4087486,241.8269949,1
3987,27.375,40.41894531,25.93652344,15.751984,18.7473767,14.59093502,248.125,351.4641333,212.8953848,1
3988,23.83886719,41.57617188,24.92285156,17.78365024,22.03291347,16.43312992,316.2582159,485.449276,270.0477591,1
3989,25.73535156,37.03125,26.78613281,18.64426647,20.57833262,16.86933247,347.6086721,423.4677734,284.574378,1
3990,24.80566406,36.47558594,23.50390625,19.3617981,20.75765554,15.92413608,374.8792257,430.8802633,253.5781097,1
3991,28.27929688,41.83300781,22.22460938,23.25046457,29.18037996,16.40706367,540.5841026,851.4945745,269.1917381,1
3992,27.60449219,44.67871094,23.18847656,16.97231257,20.93473153,14.73060908,288.0593939,438.2629843,216.9908438,1
3993,26.11230469,30.87988281,23.77734375,19.5122679,19.72496994,16.00766523,380.7285986,389.074439,256.2453461,1
3994,27.95214844,38.80859375,25.42382813,23.01300276,27.39811532,18.38355611,529.5982962,750.656723,337.9551353,1
3995,27.74316406,50.60546875,20.59082031,17.65676028,20.97702914,12.56986544,311.7611837,440.0357513,158.0015173,1
3996,30.14355469,54.68457031,22.00488281,16.75477711,18.66253339,12.77398845,280.7225561,348.2901525,163.1747808,1
