,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,std_r,std_g,std_b,std_h,std_s,std_v,var_r,var_g,var_b,var_h,var_s,var_v,class
5271,30.7431640625,43.2353515625,20.6396484375,44.576171875,147.2265625,43.3974609375,19.125649808926976,24.7460200452422,15.699884002402815,13.504341698892953,58.05997234053418,24.521340223683975,365.7904806137085,612.3655080795288,246.4863576889038,182.36724472045898,3370.9603881835938,601.2961263656616,1
5272,23.9033203125,25.65625,15.4072265625,32.3642578125,136.6689453125,26.8466796875,15.808343966890552,17.51112927362196,14.205219748011448,16.666569617306756,69.57989711462201,16.979736565072937,249.9037389755249,306.6396484375,201.78826808929443,277.7745428085327,4841.362082481384,288.3114538192749,1
5273,37.4189453125,47.0576171875,25.267578125,43.216796875,129.5087890625,47.9169921875,17.570540654391777,22.41981372463216,15.071725766216073,24.912265410134626,56.80258027482009,21.63154580157331,308.7238988876343,502.6480474472046,227.15691757202148,620.6209678649902,3226.5331258773804,467.92377376556396,1
5274,38.1328125,48.365234375,25.34375,41.8876953125,134.9169921875,48.4326171875,18.50765090685049,21.564071553774774,16.59675114103661,8.126206939259271,55.32289754265917,21.473761027858618,342.53314208984375,465.00918197631836,275.4521484375,66.03523921966553,3060.622992515564,461.1224126815796,1
5275,34.634765625,45.6806640625,25.69921875,46.310546875,134.796875,45.8310546875,20.434188434491798,22.83001419177222,19.046031804936387,7.803572780363346,60.30516268516631,22.859792000232293,417.55605697631836,521.209547996521,362.75132751464844,60.895748138427734,3636.712646484375,522.5700902938843,1
5276,35.5810546875,49.521484375,24.8212890625,47.0107421875,141.927734375,49.521484375,17.215808291731012,19.29113723764441,15.383137325114077,5.418869108763166,50.039541516479176,19.29113723764441,296.3840551376343,372.14797592163086,236.64091396331787,29.364142417907715,2503.9557151794434,372.14797592163086,1
5277,28.2734375,34.03515625,19.4033203125,39.1572265625,137.6220703125,34.41015625,18.49042820106105,20.679963090225424,16.80443663256894,11.790061630269133,67.70973449743992,20.444182163896553,341.89593505859375,427.66087341308594,282.3890905380249,139.00555324554443,4584.608145713806,417.96458435058594,1
5278,30.5107421875,34.025390625,19.154296875,35.1630859375,134.8974609375,35.076171875,18.984777049136177,22.181850949958214,15.808288133898788,20.036435674527787,66.04820559487715,21.75058500007434,360.4217596054077,492.0345115661621,249.90197372436523,401.45875453948975,4362.365462303162,473.087947845459,1
5279,34.8603515625,37.7236328125,22.4462890625,33.8037109375,126.498046875,38.8466796875,18.677229364962134,21.186688500451723,15.70383381169047,18.47912530847829,59.65219829822119,20.57795127847461,348.8388967514038,448.87576961517334,246.61039638519287,341.47807216644287,3558.3847618103027,423.4520788192749,1
5280,27.861328125,31.2978515625,17.5,37.095703125,134.9033203125,31.6396484375,17.01453619661976,18.166873916120416,14.192523890238832,14.3766514368564,65.3745475957618,18.09658414422191,289.494441986084,330.0353078842163,201.427734375,206.68810653686523,4273.831473350525,327.4863576889038,1
5281,41.0078125,44.1259765625,25.05859375,33.4462890625,131.6142578125,45.0,18.711417008469557,20.02802599404646,16.617905099544316,8.223029179395684,56.50104250832265,19.628482971182464,350.11712646484375,401.1218252182007,276.15476989746094,67.61820888519287,3192.3678045272827,385.27734375,1
5282,29.95703125,37.2744140625,19.94140625,42.0947265625,141.5751953125,37.345703125,17.916421341510237,19.87273693995878,15.444092860134614,11.297634030665755,63.947825794079804,19.7944915468765,320.99815368652344,394.92567348480225,238.52000427246094,127.63653469085693,4089.324423789978,391.82189559936523,1
5283,47.337890625,41.8291015625,26.1591796875,23.5224609375,136.6279296875,47.8369140625,23.7649025992226,23.32232309744379,18.42512968786346,17.706303041044073,57.45687276336101,23.71711878136739,564.7705955505371,543.9307546615601,339.4854040145874,313.5131673812866,3301.292227745056,562.5017232894897,1
5284,34.2880859375,44.3994140625,24.4990234375,45.662109375,133.7705078125,44.3994140625,18.416991100071552,19.376301358726263,16.675674620426175,5.102952753116289,56.455657631882886,19.376301358726263,339.18556118011475,375.44105434417725,278.0781240463257,26.04012680053711,3187.2412786483765,375.44105434417725,1
5285,45.498046875,57.3583984375,30.90234375,43.3173828125,131.060546875,57.369140625,19.482814845660847,20.10862755442294,17.60205272494762,7.488523157995146,46.333225858458505,20.09378559589941,379.58007431030273,404.35690212249756,309.83226013183594,56.07797908782959,2146.7678184509277,403.7602195739746,1
5286,35.2587890625,49.6640625,26.1318359375,48.748046875,138.44140625,49.6640625,20.382341969426143,22.776136203735124,18.46759202557506,5.296759410035794,54.21991609314294,22.776136203735124,415.43986415863037,518.7523803710938,341.0519552230835,28.055660247802734,2939.799301147461,518.7523803710938,1
5287,36.3583984375,45.80078125,27.2607421875,43.830078125,120.6162109375,45.8515625,19.38904399712625,22.056022406355332,17.570988324484134,10.206387475811237,58.16314416164248,21.975559877591145,375.93502712249756,486.46812438964844,308.7396306991577,104.17034530639648,3382.9513387680054,482.92523193359375,1
5288,35.046875,45.0634765625,23.2265625,43.9248046875,142.0048828125,45.2890625,18.24763870640185,21.166676576366758,16.103287146840355,11.706168661328865,54.24657045238567,21.00242818690481,332.976318359375,448.0281972885132,259.31585693359375,137.03438472747803,2942.690405845642,441.10198974609375,1
5289,33.5439453125,39.20703125,22.9296875,38.044921875,125.9453125,39.41015625,18.883535488872557,20.75856631758377,17.03491753802594,9.27614198630802,62.876498316360966,20.610168302941776,356.5879125595093,430.91807556152344,290.18841552734375,86.04681015014648,3953.4540405273438,424.77903747558594,1
5290,37.892578125,45.693359375,23.5234375,38.232421875,145.0087890625,47.6376953125,15.782152931896569,20.63005891659303,15.130210798551147,12.857340877764013,50.02539317001797,18.866269321885436,249.07635116577148,425.5993309020996,228.92327880859375,165.31121444702148,2502.5399618148804,355.9361181259155,1
5291,36.505859375,45.1845703125,24.720703125,42.5966796875,134.306640625,45.1845703125,17.702124167532116,18.49023486498329,16.424309140892813,4.461470109507056,54.95578580460932,18.49023486498329,313.3652000427246,341.88878536224365,269.75793075561523,19.904715538024902,3020.1383934020996,341.88878536224365,1
5292,50.482421875,49.7041015625,28.05859375,27.6181640625,134.3359375,53.3955078125,19.33498093830251,21.224786116170524,16.581724820490205,8.552897338290311,47.43964542970461,20.827528811233257,373.8414878845215,450.49154567718506,274.95359802246094,73.1520528793335,2250.5199584960938,433.78595638275146,1
