,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,mean_l,mean_a,mean_bhuman,std_r,std_g,std_b,std_h,std_s,std_v,std_l,std_a,std_bhuman,var_r,var_g,var_b,var_h,var_s,var_v,var_l,var_a,var_bhuman,dissimilarity,correlation,energy,ASM,contrast,homogeneity,class
4407,95.921875,97.5185546875,79.0556640625,32.0146484375,54.8583984375,100.5048828125,103.9501953125,123.84375,138.3544921875,11.372241681364981,7.896526101620369,9.417913613144155,11.063858509163014,9.866910639100649,8.81770544320585,8.532478160276945,4.339926374663515,1.9586345630314668,129.327880859375,62.35512447357178,88.697096824646,122.40896511077881,97.35592555999756,77.75192928314209,72.80318355560303,18.8349609375,3.836249351501465,3.870967741935483,0.79857389900116,0.05465439108507506,0.0029871024648803327,26.95564516129032,0.25615738664057475,0
4408,86.9638671875,93.5224609375,69.900390625,37.9267578125,65.705078125,93.8076171875,98.2353515625,120.8271484375,140.732421875,11.30963633842224,9.159368250937758,10.287177235394173,5.609136209744796,10.896124131435291,9.435797683076645,9.98105041839429,2.485584468458336,1.695779340604633,127.90787410736084,83.89402675628662,105.82601547241211,31.462409019470215,118.72552108764648,89.03427791595459,99.62136745452881,6.178130149841309,2.8756675720214844,3.5816532258064524,0.87714329527227,0.057759545769261254,0.0033361651274713858,22.192540322580648,0.2562498165412294,0
4409,90.9658203125,94.16015625,70.98046875,33.884765625,65.951171875,95.326171875,99.6259765625,122.341796875,140.923828125,14.555383310358488,11.930369859127836,12.783030490860664,6.91906350518756,12.616780995531665,13.009876754141793,12.872411338039997,3.0162922017338163,2.369248503314708,211.8591833114624,142.33372497558594,163.40586853027344,47.87343978881836,159.18316268920898,169.25689315795898,165.69897365570068,9.098018646240234,5.613338470458984,4.166330645161291,0.8910109802143151,0.05320823879192198,0.0028311166753381906,33.96471774193549,0.24110709542443595,0
4410,96.25,97.236328125,77.8564453125,30.9833984375,59.48046875,101.2392578125,103.7158203125,123.93359375,138.9814453125,15.664200825449091,11.829386433468727,13.237903435370601,12.43258059799423,11.603626578801709,13.618920010839982,12.616113197721095,5.384211254674257,2.6748699334868187,245.3671875,139.93438339233398,175.24208736419678,154.56906032562256,134.64414978027344,185.47498226165771,159.1663122177124,28.989730834960938,7.154929161071777,4.488911290322581,0.8906892608433898,0.04582537553500285,0.0020999650429240377,33.53528225806452,0.20885834870491973,0
4411,97.591796875,99.203125,79.314453125,31.4453125,59.58984375,103.2578125,105.6474609375,123.607421875,139.166015625,14.620036921421924,10.911207236569885,12.27869511011564,12.866613526967527,11.865116543910807,12.339830766256227,11.417406076772062,5.8037723112447726,2.829424311985719,213.74547958374023,119.054443359375,150.76635360717773,165.54974365234375,140.78099060058594,152.27142333984375,130.35716152191162,33.683773040771484,8.00564193725586,4.324596774193549,0.8741367360490752,0.04856528012276576,0.0023585864334027067,31.846774193548395,0.2225134988775814,0
4412,94.2236328125,102.8388671875,79.294921875,39.6318359375,59.2958984375,103.2958984375,107.642578125,120.078125,140.1884765625,8.28695487966921,9.047207630215848,8.853678922495805,7.335447577386366,13.932080742020736,8.811244523458933,8.796371743694754,3.6640874865885777,2.941922207144197,68.67362117767334,81.85196590423584,78.38763046264648,53.808791160583496,194.10287380218506,77.63803005218506,77.37615585327148,13.425537109375,8.654906272888184,4.221774193548386,0.7883468993734037,0.05523236907984969,0.0030506145941727363,28.695564516129032,0.215091476861242,0
4413,82.7802734375,97.6826171875,71.5703125,45.2802734375,69.2294921875,97.8740234375,100.8115234375,117.0341796875,141.1240234375,15.088591300225211,13.988969237861294,13.647806940213645,8.868976913248334,18.32532265809736,13.954752110596615,14.215508697295647,5.4639982669710285,2.9009105897029444,227.66558742523193,195.6912603378296,186.26263427734375,78.65875148773193,335.81745052337646,194.73510646820068,202.08068752288818,29.855277061462402,8.415282249450684,6.569556451612906,0.7586545712559047,0.03980259480322507,0.0015842465530697199,85.80544354838713,0.1747293460021082,0
4414,89.0517578125,96.314453125,74.810546875,39.1591796875,58.1396484375,96.6728515625,101.2060546875,120.91796875,139.3857421875,10.853258476897397,8.483137346063527,9.615825888265018,7.596325033500568,12.343672083355253,8.567596867695242,9.11458751278736,3.451549325885904,1.9617016279961423,117.79321956634521,71.96361923217773,92.46410751342773,57.7041540145874,152.3662405014038,73.40371608734131,83.07570552825928,11.913192749023438,3.848273277282715,5.32459677419355,0.5798571534682608,0.050589374002518575,0.002559284761966702,65.4233870967742,0.2192243968911459,0
4415,85.140625,95.25390625,71.779296875,42.025390625,64.1142578125,95.4208984375,99.376953125,119.3759765625,140.2041015625,12.147600955924384,9.627636833159576,11.501788290549223,7.216202191330431,15.534413405075286,9.688991456431886,10.478423520098467,3.5764869371983847,2.2435547385087484,147.564208984375,92.69139099121094,132.29113388061523,52.07357406616211,241.31799983978271,93.87655544281006,109.79735946655273,12.791258811950684,5.033537864685059,5.571572580645162,0.6871597457387764,0.04526198451742672,0.0020486472424557757,65.03326612903227,0.2025388831373182,0
4416,79.5078125,96.2548828125,68.0390625,47.16796875,75.5478515625,96.3095703125,98.8505859375,115.8251953125,142.095703125,10.955607221411498,8.571646323162902,10.7031335538287,5.868273191410181,18.50505777761762,8.592719609304067,9.255179063660911,3.7834071792139987,3.101886568987531,120.02532958984375,73.47312068939209,114.55706787109375,34.43663024902344,342.4371633529663,73.83483028411865,85.65833950042725,14.314169883728027,9.621700286865234,4.392137096774194,0.7704303647396836,0.05170692985174259,0.0026736065946930294,36.976814516129046,0.2098726627216983,0
4417,89.744140625,96.8486328125,75.5947265625,39.3134765625,57.0263671875,97.2080078125,101.8408203125,121.044921875,139.2255859375,9.14130418650559,7.731425453113309,8.037559020209864,7.612590697802108,8.96544408180227,7.6933853447256215,8.112072270054515,3.034298337366727,1.368196823305129,83.56344223022461,59.77493953704834,64.60235500335693,57.951537132263184,80.37918758392334,59.188178062438965,65.8057165145874,9.206966400146484,1.871962547302246,4.112903225806452,0.7163305150597805,0.05510342890611472,0.003036387877211239,33.60685483870968,0.24321226585205352,0
